1.8860 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
33.2276 	EXP 	grating: ori = 1.0
33.2276 	EXP 	fixation: autoDraw = True
34.2277 	EXP 	fixation: autoDraw = False
34.2277 	EXP 	grating: autoDraw = True
34.5275 	EXP 	grating: autoDraw = False
34.7962 	EXP 	New trial (rep=10, index=0): None
34.7972 	DATA 	Keypress: up
34.8108 	EXP 	fixation: autoDraw = False
34.8108 	EXP 	grating: autoDraw = False
34.8108 	EXP 	grating: ori = -2.0
34.8108 	EXP 	fixation: autoDraw = True
35.8110 	EXP 	fixation: autoDraw = False
35.8110 	EXP 	grating: autoDraw = True
36.1111 	EXP 	grating: autoDraw = False
36.2977 	EXP 	New trial (rep=11, index=0): None
36.2988 	DATA 	Keypress: up
36.3106 	EXP 	fixation: autoDraw = False
36.3106 	EXP 	grating: autoDraw = False
36.3106 	EXP 	grating: ori = -2.0
36.3106 	EXP 	fixation: autoDraw = True
37.3106 	EXP 	fixation: autoDraw = False
37.3106 	EXP 	grating: autoDraw = True
37.6105 	EXP 	grating: autoDraw = False
37.7820 	EXP 	New trial (rep=12, index=0): None
37.7840 	DATA 	Keypress: up
37.7941 	EXP 	fixation: autoDraw = False
37.7941 	EXP 	grating: autoDraw = False
37.7941 	EXP 	grating: ori = 0.0
37.7941 	EXP 	fixation: autoDraw = True
38.7940 	EXP 	fixation: autoDraw = False
38.7940 	EXP 	grating: autoDraw = True
39.0936 	EXP 	grating: autoDraw = False
39.3961 	EXP 	New trial (rep=13, index=0): None
39.3971 	DATA 	Keypress: up
39.4104 	EXP 	fixation: autoDraw = False
39.4104 	EXP 	grating: autoDraw = False
39.4104 	EXP 	grating: ori = -2.0
39.4104 	EXP 	fixation: autoDraw = True
40.4103 	EXP 	fixation: autoDraw = False
40.4103 	EXP 	grating: autoDraw = True
40.7103 	EXP 	grating: autoDraw = False
41.3958 	EXP 	New trial (rep=14, index=0): None
41.3968 	DATA 	Keypress: down
41.4103 	EXP 	fixation: autoDraw = False
41.4103 	EXP 	grating: autoDraw = False
41.4103 	EXP 	grating: ori = 3.0
41.4103 	EXP 	fixation: autoDraw = True
42.4098 	EXP 	fixation: autoDraw = False
42.4098 	EXP 	grating: autoDraw = True
42.7097 	EXP 	grating: autoDraw = False
43.2288 	EXP 	New trial (rep=15, index=0): None
43.2299 	DATA 	Keypress: down
43.2433 	EXP 	fixation: autoDraw = False
43.2433 	EXP 	grating: autoDraw = False
43.2433 	EXP 	grating: ori = 4.0
43.2433 	EXP 	fixation: autoDraw = True
44.2433 	EXP 	fixation: autoDraw = False
44.2433 	EXP 	grating: autoDraw = True
44.5433 	EXP 	grating: autoDraw = False
44.8469 	EXP 	New trial (rep=16, index=0): None
44.8485 	DATA 	Keypress: down
44.8598 	EXP 	fixation: autoDraw = False
44.8598 	EXP 	grating: autoDraw = False
44.8598 	EXP 	grating: ori = -2.0
44.8598 	EXP 	fixation: autoDraw = True
45.8595 	EXP 	fixation: autoDraw = False
45.8595 	EXP 	grating: autoDraw = True
46.1595 	EXP 	grating: autoDraw = False
46.6286 	EXP 	New trial (rep=17, index=0): None
46.6296 	DATA 	Keypress: down
46.6427 	EXP 	fixation: autoDraw = False
46.6427 	EXP 	grating: autoDraw = False
46.6427 	EXP 	grating: ori = 0.0
46.6427 	EXP 	fixation: autoDraw = True
47.6426 	EXP 	fixation: autoDraw = False
47.6426 	EXP 	grating: autoDraw = True
47.9425 	EXP 	grating: autoDraw = False
48.1613 	EXP 	New trial (rep=18, index=0): None
48.1623 	DATA 	Keypress: up
48.1760 	EXP 	fixation: autoDraw = False
48.1760 	EXP 	grating: autoDraw = False
48.1760 	EXP 	grating: ori = 4.0
48.1760 	EXP 	fixation: autoDraw = True
49.1759 	EXP 	fixation: autoDraw = False
49.1759 	EXP 	grating: autoDraw = True
49.4758 	EXP 	grating: autoDraw = False
49.8112 	EXP 	New trial (rep=19, index=0): None
49.8191 	DATA 	Keypress: down
49.8261 	EXP 	fixation: autoDraw = False
49.8261 	EXP 	grating: autoDraw = False
49.8261 	EXP 	grating: ori = -2.0
49.8261 	EXP 	fixation: autoDraw = True
50.8254 	EXP 	fixation: autoDraw = False
50.8254 	EXP 	grating: autoDraw = True
51.1256 	EXP 	grating: autoDraw = False
51.5781 	EXP 	New trial (rep=20, index=0): None
51.5792 	DATA 	Keypress: down
51.5920 	EXP 	fixation: autoDraw = False
51.5920 	EXP 	grating: autoDraw = False
51.5920 	EXP 	grating: ori = 4.0
51.5920 	EXP 	fixation: autoDraw = True
52.5921 	EXP 	fixation: autoDraw = False
52.5921 	EXP 	grating: autoDraw = True
52.8921 	EXP 	grating: autoDraw = False
53.4277 	EXP 	New trial (rep=21, index=0): None
53.4286 	DATA 	Keypress: down
53.4418 	EXP 	fixation: autoDraw = False
53.4418 	EXP 	grating: autoDraw = False
53.4418 	EXP 	grating: ori = 0.0
53.4418 	EXP 	fixation: autoDraw = True
54.4417 	EXP 	fixation: autoDraw = False
54.4417 	EXP 	grating: autoDraw = True
54.7415 	EXP 	grating: autoDraw = False
55.3127 	EXP 	New trial (rep=22, index=0): None
55.3145 	DATA 	Keypress: up
55.3254 	EXP 	fixation: autoDraw = False
55.3254 	EXP 	grating: autoDraw = False
55.3254 	EXP 	grating: ori = 3.0
55.3254 	EXP 	fixation: autoDraw = True
56.3249 	EXP 	fixation: autoDraw = False
56.3249 	EXP 	grating: autoDraw = True
56.6248 	EXP 	grating: autoDraw = False
57.1102 	EXP 	New trial (rep=23, index=0): None
57.1112 	DATA 	Keypress: down
57.1247 	EXP 	fixation: autoDraw = False
57.1247 	EXP 	grating: autoDraw = False
57.1247 	EXP 	grating: ori = 0.0
57.1247 	EXP 	fixation: autoDraw = True
58.1247 	EXP 	fixation: autoDraw = False
58.1247 	EXP 	grating: autoDraw = True
58.4246 	EXP 	grating: autoDraw = False
58.8763 	DATA 	Keypress: down
58.8933 	EXP 	New trial (rep=24, index=0): None
58.9078 	EXP 	fixation: autoDraw = False
58.9078 	EXP 	grating: autoDraw = False
58.9078 	EXP 	grating: ori = 0.0
58.9078 	EXP 	fixation: autoDraw = True
59.9077 	EXP 	fixation: autoDraw = False
59.9077 	EXP 	grating: autoDraw = True
60.2078 	EXP 	grating: autoDraw = False
60.4948 	EXP 	New trial (rep=25, index=0): None
60.4967 	DATA 	Keypress: down
60.5077 	EXP 	fixation: autoDraw = False
60.5077 	EXP 	grating: autoDraw = False
60.5077 	EXP 	grating: ori = 0.0
60.5077 	EXP 	fixation: autoDraw = True
61.5073 	EXP 	fixation: autoDraw = False
61.5073 	EXP 	grating: autoDraw = True
61.8073 	EXP 	grating: autoDraw = False
62.0943 	EXP 	New trial (rep=26, index=0): None
62.0954 	DATA 	Keypress: down
62.1074 	EXP 	fixation: autoDraw = False
62.1074 	EXP 	grating: autoDraw = False
